city_name,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,36,9,13,1.23,26,61,71,10
阿克苏地区,113,60,173,1.25,47,76,50,18
阿拉善盟,54,37,53,0.57,13,64,67,18
阿勒泰地区,49,25,48,0.8,35,25,39,46
阿里地区,45,16,44,0.15,3,81,67,3
安康,100,75,85,1.43,35,49,53,18
安庆,199,149,180,1.1,48,30,43,12
鞍山,57,20,62,1.0,28,47,61,33
安顺,43,30,36,0.57,16,80,66,19
安阳,85,62,91,1.22,28,63,63,17
白城,56,13,59,0.7,37,55,77,29
百色,97,72,94,1.5,23,83,74,24
白山,33,19,29,0.55,6,64,64,9
白银,88,49,123,1.4,17,82,61,284
保定,59,37,65,0.8,37,56,69,13
宝鸡,119,89,156,1.27,52,43,42,17
保山,44,15,31,0.45,7,108,87,10
包头,39,19,38,0.52,15,74,55,8
巴彦淖尔,32,13,15,0.33,14,56,62,6
巴中,130,98,150,1.48,51,15,10,8
北海,85,41,69,0.9,15,128,140,8
北京,36,7,35,0.44,19,57,65,3
蚌埠,58,36,63,0.58,36,36,43,10
本溪,55,11,57,0.64,20,49,58,29
毕节,91,67,102,1.4,46,46,36,26
滨州,29,10,27,0.6,22,53,56,12
博州,88,65,117,1.4,37,61,58,51
亳州,89,53,125,1.0,34,49,45,16
沧州,45,25,44,0.33,30,59,66,19
长春,33,19,32,0.69,23,45,56,29
常德,124,93,139,1.38,27,21,28,4
昌都,33,18,32,1.7,26,55,56,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,133,101,133,0.93,34,65,59,23
长沙,214,163,166,1.5,50,9,16,6
常熟,55,32,58,0.63,31,57,59,20
长治,142,108,154,2.46,68,15,49,22
常州,53,35,53,1.05,48,31,32,13
朝阳,50,22,49,0.65,24,56,68,45
潮州,53,36,46,1.43,29,74,81,9
承德,44,14,43,0.38,12,76,78,7
成都,120,90,137,1.36,94,25,35,10
郴州,60,41,68,1.82,32,25,26,8
赤峰,32,10,31,0.88,18,50,57,13
池州,208,157,201,1.27,42,33,27,10
重庆,92,68,109,1.79,74,5,6,19
崇左,82,60,92,1.1,21,128,112,8
楚雄州,36,11,30,0.45,10,81,70,11
滁州,62,43,72,0.45,43,43,44,9
大连,36,13,35,0.68,24,59,66,12
大理州,79,20,105,0.85,19,114,102,7
丹东,44,19,43,0.65,24,49,60,18
大庆,29,18,23,0.52,22,50,56,8
大同,30,10,28,0.75,21,52,58,18
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,42,29,28,0.9,43,34,69,45
达州,143,109,153,2.08,69,32,35,10
德宏州,36,16,31,1.0,19,90,71,9
德阳,137,104,167,1.48,84,11,11,12
德州,48,15,47,1.07,25,58,63,11
定西,75,50,97,1.0,19,77,56,24
迪庆州,56,5,60,0.55,8,94,92,11
东莞,100,75,87,1.54,54,72,54,11
东营,33,8,29,0.48,21,57,65,10
鄂尔多斯,41,4,16,0.64,20,76,80,11
恩施州,104,77,109,1.7,39,6,7,8
鄂州,116,87,102,1.77,41,6,16,6
防城港,86,58,77,0.9,26,134,141,29
佛山,110,82,140,1.4,84,35,26,16
抚顺,65,17,78,0.52,22,53,64,18
阜新,43,15,42,0.42,14,62,72,14
阜阳,74,53,81,0.9,36,24,23,4
富阳,115,86,147,1.2,59,44,50,11
福州,55,21,57,0.67,28,79,78,7
抚州,46,32,44,0.92,26,45,52,9
甘南州,37,8,35,0.7,19,106,72,6
赣州,53,36,45,1.92,25,44,48,6
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,44,27,38,0.4,11,99,86,16
广安,125,94,146,1.34,43,20,15,14
广元,67,40,82,1.48,68,13,12,21
广州,108,80,104,1.43,77,31,28,11
贵港,124,93,131,1.25,34,59,59,14
桂林,71,51,65,0.88,33,62,58,16
贵阳,54,32,55,0.63,27,52,34,16
果洛州,52,7,17,0.3,12,120,101,29
固原,75,32,98,0.6,24,75,80,14
哈尔滨,45,31,35,0.86,35,36,47,31
海北州,45,4,12,0.3,10,107,89,5
海东地区,90,50,128,1.0,46,86,71,27
海口,55,26,58,0.72,11,88,93,4
海门,43,22,42,0.6,16,53,58,6
海南州,38,19,33,1.2,7,77,74,11
海西州,38,24,34,1.1,24,77,75,26
哈密地区,85,47,117,2.65,34,51,56,19
邯郸,100,57,147,0.88,34,50,57,21
杭州,99,74,105,0.96,58,25,19,11
汉中,181,136,164,1.58,59,16,16,20
鹤壁,89,66,107,0.93,34,61,66,17
河池,99,74,100,1.0,30,28,28,8
合肥,97,72,82,1.05,42,24,27,4
鹤岗,74,44,95,0.98,38,33,55,16
黑河,32,19,29,1.0,38,36,63,36
衡水,56,39,57,0.6,29,54,62,9
衡阳,55,38,49,1.32,43,30,33,25
和田地区,148,59,243,2.65,14,91,71,14
河源,66,47,72,1.37,27,80,61,5
菏泽,88,65,95,1.4,35,59,66,11
贺州,83,61,80,1.25,30,32,40,9
红河州,48,22,47,0.33,6,86,82,8
淮安,56,30,60,0.72,28,55,53,9
淮北,62,43,72,0.57,42,49,45,16
怀化,47,30,46,0.98,16,25,31,4
淮南,75,54,88,0.67,37,26,26,11
黄冈,105,78,102,1.65,36,8,17,5
黄南州,52,20,52,1.3,24,83,72,41
黄山,82,60,79,1.2,41,26,29,11
黄石,106,79,110,1.56,46,22,15,6
呼和浩特,47,17,46,1.0,26,51,55,18
惠州,87,64,92,1.44,46,86,71,7
葫芦岛,37,25,32,1.0,32,53,72,30
呼伦贝尔,31,20,26,0.4,17,56,61,5
湖州,75,54,82,0.97,53,46,42,13
佳木斯,55,35,57,0.96,38,30,55,19
吉安,63,44,60,1.08,32,51,46,11
江门,142,108,173,1.63,105,22,18,17
江阴,61,37,70,0.53,29,51,48,5
胶南,48,14,47,0.5,17,63,77,10
胶州,39,12,36,0.5,15,73,76,13
焦作,126,95,133,1.45,37,47,42,13
嘉兴,61,43,64,0.83,39,41,48,8
嘉峪关,81,43,109,0.8,35,66,54,12
揭阳,82,60,80,1.35,38,71,91,10
吉林,56,31,59,0.91,22,54,62,16
即墨,33,9,25,0.65,21,55,64,5
济南,54,25,55,0.79,39,48,60,22
金昌,75,33,97,0.45,24,45,54,29
晋城,200,150,185,1.52,40,30,23,10
景德镇,43,28,42,0.8,13,39,44,4
荆门,161,122,138,1.58,47,22,26,10
荆州,148,113,168,1.53,35,22,21,6
金华,85,62,75,1.2,65,12,17,11
济宁,85,62,75,0.93,31,66,72,20
金坛,59,31,65,0.75,37,102,63,7
晋中,59,36,65,1.27,59,27,57,69
锦州,45,27,44,0.83,29,45,60,58
九江,157,119,133,1.16,31,52,57,9
酒泉,87,38,122,0.55,13,75,77,10
鸡西,64,45,64,0.57,25,40,51,11
句容,82,57,111,0.45,58,24,28,11
开封,75,54,73,1.0,31,52,58,11
喀什地区,175,119,298,1.65,26,83,43,21
克拉玛依,43,25,42,0.7,11,69,68,9
克州,143,55,234,1.4,12,94,69,7
库尔勒,77,41,102,1.53,35,65,61,12
昆明,50,21,49,0.57,19,86,78,9
昆山,55,38,48,0.6,26,72,72,5
来宾,185,139,172,1.75,54,37,50,27
莱芜,63,44,66,0.67,41,52,62,22
莱西,33,16,21,0.65,21,55,65,9
莱州,31,4,27,0.65,17,58,61,8
廊坊,34,18,30,0.63,27,55,66,4
兰州,92,64,132,1.1,54,66,72,31
拉萨,44,14,43,0.52,19,103,84,5
乐山,124,93,116,0.94,33,79,46,6
凉山州,46,22,36,0.7,24,118,91,15
连云港,52,28,52,1.0,28,64,64,20
聊城,58,34,63,0.63,24,63,64,17
辽阳,51,14,50,0.55,17,51,63,15
辽源,27,13,22,0.75,21,52,53,19
丽江,80,32,107,0.87,14,110,98,15
临安,117,86,181,1.1,51,57,56,17
临沧,52,16,52,0.75,19,99,90,12
临汾,38,13,37,1.03,21,56,58,29
临夏州,52,29,52,1.3,25,105,83,42
临沂,72,52,87,0.88,42,49,60,23
林芝,51,7,50,0.4,6,88,74,5
林芝地区,18,4,16,0.35,6,51,35,3
丽水,63,44,65,0.67,38,32,37,6
六盘水,68,48,84,0.56,23,93,84,18
柳州,206,155,197,1.76,55,26,32,41
溧阳,69,49,66,0.55,49,22,28,17
陇南,64,36,76,0.75,18,66,42,14
龙岩,61,40,69,1.05,27,63,66,15
娄底,69,49,85,1.56,28,48,45,6
六安,100,75,123,0.73,36,47,43,3
漯河,133,101,144,1.15,41,19,34,10
洛阳,121,91,125,1.36,48,32,26,13
泸州,108,80,121,0.9,74,8,7,32
吕梁,58,18,63,1.97,19,56,51,16
马鞍山,88,65,87,0.78,43,33,34,11
茂名,72,41,71,0.93,15,120,125,5
眉山,175,132,174,1.4,62,55,33,20
梅州,64,45,53,1.57,41,40,28,4
绵阳,87,64,87,0.88,39,32,20,8
牡丹江,50,31,49,0.46,18,52,58,12
南昌,120,90,141,1.69,49,49,39,12
南充,130,98,133,1.25,53,49,44,11
南京,65,44,78,0.74,57,26,35,11
南宁,142,108,165,1.64,73,86,78,14
南平,56,39,45,1.0,20,68,83,6
南通,34,20,29,0.66,20,64,66,12
南阳,104,77,101,1.26,34,52,50,10
那曲地区,34,15,33,0.63,5,70,60,4
内江,98,73,109,1.1,50,51,33,18
宁波,54,36,55,0.8,33,60,53,9
宁德,50,25,49,0.63,24,86,75,10
怒江州,59,20,65,2.6,8,87,56,16
盘锦,58,20,63,0.7,21,54,65,15
攀枝花,61,37,69,1.48,46,89,68,41
蓬莱,38,8,24,1.1,15,72,74,6
平顶山,110,82,122,1.02,47,34,64,20
平度,36,12,27,0.5,15,70,71,12
平凉,104,77,148,0.6,35,41,51,15
萍乡,80,58,100,1.8,42,22,25,18
普洱,43,7,21,0.35,9,87,85,6
莆田,54,24,55,0.62,27,81,99,8
濮阳,69,49,66,1.13,36,62,68,13
黔东南州,74,53,80,1.05,35,14,15,24
黔南州,38,26,35,1.0,47,6,6,19
黔西南州,27,9,26,1.1,11,60,52,7
青岛,48,14,47,0.51,26,60,66,9
庆阳,69,41,85,0.67,20,80,74,13
清远,83,61,88,1.77,57,26,30,17
秦皇岛,49,22,48,1.0,31,51,66,19
钦州,111,83,115,1.73,41,132,139,27
齐齐哈尔,40,20,39,0.98,39,29,54,45
七台河,61,43,65,0.7,32,34,43,11
泉州,65,20,55,0.43,21,99,116,10
曲靖,47,18,40,0.35,16,105,93,12
衢州,136,103,124,0.93,58,24,30,7
日喀则,36,17,21,0.45,3,94,71,11
日喀则地区,29,6,27,0.35,2,68,56,5
日照,49,28,48,0.6,24,73,76,10
荣成,46,27,45,0.75,15,63,68,10
乳山,45,8,25,0.65,16,85,88,8
三门峡,170,128,163,1.73,52,22,22,9
三明,53,36,52,1.2,38,47,51,14
三沙,30,7,20,0.3,30,51,58,6
三亚,39,23,38,0.6,10,74,77,1
上海,44,27,43,0.72,36,61,64,9
商洛,119,89,110,1.8,59,28,24,8
商丘,138,105,134,1.08,40,38,37,7
上饶,59,34,66,1.15,32,36,31,16
山南,38,7,16,0.4,6,90,75,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,71,31,71,0.92,33,127,124,12
汕尾,63,27,66,0.87,26,150,114,11
韶关,66,47,56,1.54,30,60,70,12
绍兴,88,56,124,0.79,39,56,41,7
邵阳,75,54,64,1.24,31,35,40,10
沈阳,52,15,51,0.53,21,48,61,14
深圳,94,70,115,1.16,59,87,93,7
石河子,77,56,64,0.85,28,72,62,6
石家庄,96,71,95,0.95,33,42,46,13
十堰,133,101,117,1.7,53,22,31,8
石嘴山,63,30,73,0.73,24,68,68,70
寿光,33,16,26,0.55,26,55,65,29
双鸭山,55,38,45,0.85,41,28,51,14
朔州,50,21,49,0.8,20,66,65,29
四平,56,21,59,0.87,28,47,53,32
松原,31,14,30,0.65,23,37,49,10
绥化,185,139,170,0.8,24,51,55,18
遂宁,99,74,110,1.27,70,15,15,10
随州,127,96,124,1.33,32,32,31,4
宿迁,61,43,57,0.65,37,48,50,5
苏州,52,30,52,0.55,49,45,50,9
宿州,60,42,67,0.7,46,43,47,9
塔城地区,58,19,63,1.7,33,50,69,25
泰安,74,48,95,0.87,34,57,58,20
太仓,52,33,52,0.55,26,71,71,7
太原,60,30,68,0.88,47,37,51,29
台州,87,64,105,1.07,43,36,55,9
泰州,51,30,50,0.75,22,58,59,7
唐山,39,21,38,0.65,33,49,66,11
天津,56,19,59,1.03,45,42,57,15
天水,198,148,244,1.3,59,40,42,22
铁岭,67,25,82,0.67,20,47,55,14
铜川,78,39,104,1.35,33,58,72,31
通化,31,13,29,0.85,14,56,60,9
通辽,55,18,58,0.67,11,64,61,9
铜陵,157,119,148,1.23,40,35,27,12
铜仁地区,39,10,38,1.25,17,30,37,7
吐鲁番地区,108,80,121,1.95,46,46,34,38
瓦房店,40,21,39,0.3,18,60,63,16
潍坊,42,12,41,0.52,15,59,67,16
威海,34,19,28,0.47,18,66,66,10
渭南,109,72,165,1.23,41,31,41,23
文登,59,20,66,0.65,29,62,73,10
文山州,54,19,56,0.65,18,77,74,5
温州,64,42,76,0.63,62,52,50,12
乌海,79,42,106,1.9,58,28,39,98
武汉,141,107,102,1.29,40,10,17,4
